,term,weight
84,109,0.00011105427010868777
85,10th,0.00011090895694386329
86,11,0.0007228589907452693
87,110,0.0002727454844085734
88,11119,7.577467785668407e-05
89,112,7.7070337122659e-05
90,114,0.00010178000534340097
91,115,0.00018828456580887787
92,116,3.7587123104229824e-05
93,11item,7.734645389042862e-05
94,12,0.000953081945090295
95,120,0.0003550131170673614
96,121,9.733690532671364e-05
97,122,0.00010596775445706603
98,125,9.02458017307296e-05
99,1250,7.7070337122659e-05
100,128,0.00011004688433799546
101,128128,8.073734730683417e-05
102,129,9.779123086094752e-05
103,13,0.0008614695703070926
104,130,0.00011019510761624054
105,13000,7.695576754030797e-05
106,131,0.000139213700135358
107,132,8.970346380892759e-05
108,133200,7.983828583399935e-05
109,136,0.00012463818986189733
110,1366,0.00011989088766848554
111,137,6.296129231370121e-05
112,139,0.00010903498214809245
113,14,0.0005492304171176877
114,140,0.00010173469174854728
115,141,0.00013674359478807257
116,142,0.00011019510761624054
117,1426,9.607921221299262e-05
118,143,6.296129231370121e-05
119,149,0.00011738574294666949
120,14year,6.296129231370121e-05
121,15,0.0013751686420062851
122,150,5.646906617341977e-05
123,151,9.658534794022673e-05
124,152,9.379912878935375e-05
125,1525,9.29770934591407e-05
126,153,0.00011610967162241257
127,1579,8.059836378879317e-05
128,158,5.646906617341977e-05
129,16,0.0008974106197901904
130,160,0.00013829524808336763
131,161,8.171404415489045e-05
132,162,7.202324989662687e-05
133,163,8.073041758349374e-05
134,164,6.296129231370121e-05
135,165,0.00013578930778500322
136,166,6.296129231370121e-05
137,16th,0.00011298332453603513
138,16yearold,0.00011090895694386329
139,17,0.0005529585297611792
140,170,0.0001921389702651329
141,1719,8.816253668584819e-05
142,17382,0.00011441121879154651
143,1750,6.158548867717063e-05
144,17week,5.417024675451722e-05
145,18,0.0006426971174187618
146,180,0.0002109273159423745
147,180⁰,8.28087131281467e-05
148,184,6.133763162228488e-05
149,18493,7.325804844303221e-05
150,185,5.938422111395421e-05
151,18725,9.714466378434848e-05
152,188,0.00011404382222550904
153,1888,7.7070337122659e-05
154,18yearold,9.177003523500496e-05
155,19,0.001073925707570622
156,190,8.248235832193449e-05
157,191,8.320405489609234e-05
