,term,weight
0,11,0.008276058886023679
1,110,0.008276058886023679
2,16,0.009245003270420486
3,18,0.018490006540840973
4,19,0.02373563316387707
5,1988,0.010599978800063602
6,20,0.010599978800063602
7,2017,0.009245003270420486
8,2021,0.009245003270420486
9,26,0.01118033988749895
10,38,0.01118033988749895
11,4g,0.008276058886023679
12,56,0.008276058886023679
13,68,0.008276058886023679
14,86,0.010599978800063602
15,92,0.01118033988749895
16,94,0.010599978800063602
17,academ,0.016012815380508715
18,accept,0.04622501635210244
19,access,0.014744195615489716
20,accur,0.01118033988749895
21,acquir,0.009245003270420486
22,activities,0.01118033988749895
23,actor,0.015075567228888179
24,adapt,0.016552117772047358
25,addition,0.01118033988749895
26,adjust,0.011867816581938535
27,administ,0.016012815380508715
28,advanc,0.008276058886023679
29,affected,0.011867816581938535
30,age,0.009245003270420486
31,alloc,0.020000000000000004
32,allow,0.013363062095621223
33,alreadi,0.01118033988749895
34,analog,0.029488391230979433
35,analys,0.015075567228888179
36,analysis,0.01118033988749895
37,android,0.021199957600127203
38,annual,0.013363062095621223
39,answer,0.029488391230979433
40,app,0.021199957600127203
41,appl,0.020000000000000004
42,appropri,0.020000000000000004
43,arabia,0.009245003270420486
44,arabian,0.018490006540840973
45,architectur,0.015075567228888179
46,area,0.01118033988749895
47,aspect,0.016552117772047358
48,assess,0.01118033988749895
49,assist,0.015075567228888179
50,associ,0.016552117772047358
51,auditori,0.01118033988749895
52,authent,0.03354101966249685
53,authors,0.008276058886023679
54,avail,0.020000000000000004
55,background,0.011867816581938535
56,becom,0.008276058886023679
57,begin,0.008276058886023679
58,behav,0.008276058886023679
59,behavior,0.0223606797749979
60,behaviour,0.009245003270420486
61,better,0.011867816581938535
62,book,0.009245003270420486
63,build,0.015075567228888179
64,campus,0.013363062095621223
65,center,0.01118033988749895
66,centr,0.026726124191242446
67,chang,0.011867816581938535
68,characteristic,0.016012815380508715
69,chemistri,0.010599978800063602
70,citi,0.01118033988749895
71,class,0.011867816581938535
72,classes,0.008276058886023679
73,classic,0.014744195615489716
74,classroom,0.011867816581938535
75,closures,0.011867816581938535
76,coastal,0.01118033988749895
77,collabor,0.013363062095621223
78,collect,0.021199957600127203
79,commit,0.009245003270420486
80,communiti,0.015075567228888179
81,competit,0.014744195615489716
82,complement,0.014744195615489716
83,complet,0.011867816581938535
84,concept,0.031799936400190805
85,conclus,0.018490006540840973
86,concret,0.01118033988749895
87,conduct,0.016552117772047358
88,confirm,0.009245003270420486
89,consolid,0.009245003270420486
90,context,0.014744195615489716
91,continu,0.011867816581938535
92,contrast,0.011867816581938535
93,conversationâ,0.015075567228888179
94,convert,0.009245003270420486
95,cope,0.02373563316387707
96,correlation,0.011867816581938535
97,course,0.014744195615489716
98,covid,0.02373563316387707
99,current,0.020000000000000004
100,daili,0.011867816581938535
101,day,0.020000000000000004
102,decision,0.011867816581938535
103,declar,0.009245003270420486
104,declin,0.008276058886023679
105,deep,0.009245003270420486
106,definit,0.030151134457776358
107,deliveri,0.008276058886023679
108,demograph,0.009245003270420486
109,demotiv,0.011867816581938535
110,described,0.020000000000000004
111,descript,0.01118033988749895
112,desir,0.02373563316387707
113,did,0.018490006540840973
114,differ,0.030151134457776358
115,difficulti,0.008276058886023679
116,difficulties,0.01118033988749895
117,dimens,0.020000000000000004
118,dimensions,0.016012815380508715
119,distinct,0.015075567228888179
120,distractions,0.020000000000000004
121,distribut,0.013363062095621223
122,div,0.009245003270420486
123,drawn,0.009245003270420486
124,educators,0.008276058886023679
125,effective,0.010599978800063602
126,effici,0.008276058886023679
127,efficient,0.010599978800063602
128,effort,0.009245003270420486
129,electron,0.029488391230979433
130,element,0.036980013081681945
131,elementari,0.03354101966249685
132,end,0.014744195615489716
133,enhancement,0.011867816581938535
134,entri,0.0223606797749979
135,environ,0.016012815380508715
136,environments,0.013363062095621223
137,equip,0.014744195615489716
138,especi,0.03202563076101743
139,estim,0.016012815380508715
140,evalu,0.04239991520025441
141,evaluation,0.010599978800063602
142,everi,0.008276058886023679
143,exampl,0.020000000000000004
144,exams,0.008276058886023679
145,exercis,0.01118033988749895
146,exist,0.009245003270420486
147,expect,0.009245003270420486
148,experi,0.008276058886023679
149,experienc,0.011867816581938535
150,experimented,0.014744195615489716
151,expert,0.031799936400190805
152,explicit,0.016012815380508715
153,extract,0.015075567228888179
154,fac,0.011867816581938535
155,face,0.011867816581938535
156,facil,0.010599978800063602
157,factors,0.013363062095621223
158,fail,0.008276058886023679
159,feedback,0.014744195615489716
160,feel,0.026726124191242446
161,fields,0.008276058886023679
162,focus,0.014744195615489716
163,follows,0.01118033988749895
164,form,0.010599978800063602
165,futur,0.016552117772047358
166,gadget,0.008276058886023679
167,gain,0.008276058886023679
168,game,0.030151134457776358
169,gender,0.009245003270420486
170,general,0.008276058886023679
171,great,0.008276058886023679
172,guidance,0.01118033988749895
173,halt,0.011867816581938535
174,hand,0.008276058886023679
175,hannafin,0.010599978800063602
176,happi,0.013363062095621223
177,heavili,0.011867816581938535
178,hedon,0.018490006540840973
179,hierarch,0.011867816581938535
180,high,0.018490006540840973
181,home,0.01118033988749895
182,homes,0.011867816581938535
183,hour,0.011867816581938535
184,human,0.013363062095621223
185,hundr,0.011867816581938535
186,ideal,0.01118033988749895
187,impact,0.02482817665807104
188,implic,0.011867816581938535
189,impos,0.011867816581938535
190,improvement,0.008276058886023679
191,inattentive,0.008276058886023679
192,independ,0.016012815380508715
193,indic,0.010599978800063602
194,indicators,0.008276058886023679
195,individu,0.020000000000000004
196,influence,0.011867816581938535
197,inform,0.013363062095621223
198,infrastructur,0.008276058886023679
199,institutions,0.01118033988749895
200,intens,0.013363062095621223
201,internet,0.008276058886023679
202,investig,0.020000000000000004
203,irrespons,0.008276058886023679
204,irt,0.016012815380508715
205,items,0.026726124191242446
206,job,0.016012815380508715
207,key,0.014744195615489716
208,knowledg,0.008276058886023679
209,known,0.009245003270420486
210,kosygina,0.008276058886023679
211,kuban,0.008276058886023679
212,lack,0.008276058886023679
213,languag,0.013363062095621223
214,language,0.013363062095621223
215,latent,0.03202563076101743
216,lead,0.008276058886023679
217,learners,0.013363062095621223
218,lectur,0.02373563316387707
219,lessons,0.008276058886023679
220,level,0.04000000000000001
221,life,0.008276058886023679
222,like,0.009245003270420486
223,limit,0.009245003270420486
224,literatur,0.018490006540840973
225,location,0.020000000000000004
226,logic,0.01118033988749895
227,logist,0.016012815380508715
228,look,0.016012815380508715
229,low,0.01118033988749895
230,make,0.014744195615489716
231,malaysia,0.026726124191242446
232,managers,0.013363062095621223
233,march,0.009245003270420486
234,match,0.020000000000000004
235,materials,0.020000000000000004
236,meaning,0.01118033988749895
237,mechan,0.013363062095621223
238,media,0.031799936400190805
239,medic,0.008276058886023679
240,memrg,0.060302268915552716
241,mention,0.008276058886023679
242,messag,0.014744195615489716
243,ministri,0.009245003270420486
244,mix,0.015075567228888179
245,mode,0.008276058886023679
246,modern,0.009245003270420486
247,modul,0.014744195615489716
248,modules,0.014744195615489716
249,moscow,0.008276058886023679
250,motivation,0.013363062095621223
251,multimedia,0.014744195615489716
252,nation,0.011867816581938535
253,nations,0.011867816581938535
254,necess,0.013363062095621223
255,need,0.008276058886023679
256,negat,0.008276058886023679
257,normal,0.011867816581938535
258,object,0.015075567228888179
259,occur,0.016012815380508715
260,open,0.013363062095621223
261,order,0.009245003270420486
262,orient,0.014744195615489716
263,oxyd,0.010599978800063602
264,packag,0.013363062095621223
265,pandem,0.008276058886023679
266,pandemic,0.011867816581938535
267,paramet,0.016012815380508715
268,peck,0.010599978800063602
269,pedagogical,0.008276058886023679
270,penang,0.013363062095621223
