,term,weight
0,000,0.0019475640558228896
1,04,0.001671458313794961
2,10,0.0026211391549708918
3,100,0.0020197204254077832
4,100m,0.002291478692065184
5,101,0.0013634757860846686
6,105,0.006502312903120109
7,11,0.001399716237746947
8,110,0.001399716237746947
9,12,0.008694404338201655
10,121,0.0018265974932278
11,130,0.0019822434795850642
12,142,0.0019822434795850642
13,15,0.001071797419626948
14,16,0.0017155759329128667
15,18,0.0034311518658257335
16,19,0.012859545372037038
17,1988,0.0021654699552096372
18,1km,0.002291478692065184
19,20,0.0037909534061041023
20,200,0.0019475640558228896
21,2012,0.001671458313794961
22,2016,0.001671458313794961
23,2017,0.002784514623956397
24,2018,0.0013634757860846686
25,2020,0.00433073701392326
26,2021,0.003063036042431165
27,2030,0.0021694447720089125
28,21st,0.002026478437260784
29,23,0.002842581620944405
30,26,0.0018594029161901574
31,28,0.0015074645314104927
32,29,0.001671458313794961
33,30,0.003854838030091853
34,33,0.0019822434795850642
35,337,0.001671458313794961
36,38,0.0018594029161901574
37,3d,0.01055225171987345
38,401,0.003342916627589922
39,43,0.0020197204254077832
40,4g,0.003462346414523064
41,56,0.001399716237746947
42,68,0.001399716237746947
43,6e,0.006029858125641971
44,73,0.0019822434795850642
45,75,0.0037343089292499183
46,82,0.001671458313794961
47,84,0.001671458313794961
48,86,0.0021654699552096372
49,90,0.002219594920528287
50,92,0.0035893271330240065
51,93,0.0013634757860846686
52,94,0.004609949527164393
53,95,0.002219594920528287
54,99,0.002842581620944405
55,abil,0.009303928044579792
56,abilities,0.002291478692065184
57,ability,0.0022412534040214386
58,abl,0.0009082563999608328
59,abov,0.0012380046455920223
60,abstract,0.0012380046455920223
61,academ,0.00813944880090193
62,accept,0.017001892284068187
63,acceptable,0.0017578873740713278
64,acceptance,0.002026478437260784
65,access,0.005771404555896244
66,accord,0.010090119178713443
67,account,0.001071797419626948
68,accur,0.004501029494468056
69,accuraci,0.0062364292439079545
70,accuracy,0.0052107130310265586
71,achiev,0.008411553322946241
72,acquir,0.0017155759329128667
73,acquired,0.0012380046455920223
74,act,0.00263195235237224
75,action,0.003799742556253519
76,activ,0.00622246773214004
77,activities,0.0030447983666279763
78,actor,0.002820017165383812
79,ad,0.002694202699540165
80,adapt,0.004012971820960789
81,addi,0.0022412534040214386
82,addit,0.006958917812123855
83,addition,0.0035893271330240065
84,address,0.005436360963698527
85,adjust,0.0018301106971463307
86,administ,0.00530909805853007
87,administr,0.0012006126745503346
88,administration,0.0012380046455920223
89,adopt,0.005442182737100726
90,adoptability,0.0017816959143628283
91,adult,0.0017816959143628283
92,advanc,0.0026587695019076388
93,advent,0.0015911776252874427
94,aes,0.0024288661613840017
95,affect,0.007727319310197627
96,affected,0.0018301106971463307
97,age,0.0031627284928688044
98,agent,0.0024684693676804074
99,agre,0.0030116666018342583
100,aid,0.0030595651474414716
101,aim,0.017955262844386456
102,alarms,0.0022005732065712835
103,alexa,0.002575316311600844
104,algorithm,0.01867553292990739
105,algorithms,0.004916726333257442
106,alive,0.0019475640558228896
107,allah,0.0011866362709169395
108,alloc,0.003899933828346598
109,allow,0.005477083996336809
110,alreadi,0.00347416073043041
111,alter,0.0012905669700317543
112,altern,0.0036922286474211684
113,alway,0.0035516499207927862
114,analog,0.004897988980342657
115,analys,0.004458050580687137
116,analyse,0.0013634757860846686
117,analysi,0.012057942499356203
118,analysis,0.008730442338613977
119,analyt,0.002726951572169337
120,analyz,0.00888083243718752
121,analyze,0.0016380187331701379
122,anchor,0.0017659486880005112
123,android,0.010441839912797953
124,ani,0.004776574662629156
125,anim,0.0012006126745503346
126,animation,0.0019475640558228896
127,announc,0.0012905669700317543
128,annual,0.003373447163919031
129,anoth,0.004331610269425197
130,answ,0.0017816959143628283
131,answer,0.004897988980342657
132,anyth,0.002842581620944405
133,anytim,0.0017816959143628283
134,anywher,0.002291478692065184
135,app,0.015998103672638368
136,appear,0.0024288661613840017
137,appl,0.003899933828346598
138,appli,0.013509019878366531
139,appliances,0.0015911776252874427
140,applic,0.04328749344250808
141,application,0.015637614720935535
142,applications,0.011999165922740182
143,approach,0.018058917702125782
144,appropri,0.008583847016433993
145,apps,0.002026478437260784
146,ar,0.011921815545253263
147,arabia,0.0017155759329128667
148,arabian,0.0034311518658257335
149,architectur,0.008790917003753562
150,architecture,0.0024684693676804074
151,area,0.00418644175655331
152,art,0.0033710930365301777
153,articl,0.0047563840360289895
154,artifici,0.004024964872716138
155,arts,0.004856493572319821
156,aspect,0.010837137818348783
157,assess,0.019794481798021114
158,asset,0.002143594839253896
159,assets,0.001071797419626948
160,assist,0.010451682723867994
161,associ,0.002799432475493894
162,atmosphere,0.0020197204254077832
163,attack,0.0021694447720089125
164,attacks,0.0015911776252874427
165,attendance,0.002709850424850391
166,attent,0.005845660112994397
167,attitud,0.006389474762122446
168,attract,0.0067124889581628554
169,attribut,0.0009082563999608328
170,audienc,0.00263195235237224
171,audio,0.0019475640558228896
172,auditori,0.0018594029161901574
173,augment,0.010783920485193105
